semester,subject,module,course_outcome,question_text
S1,Life Skills,Module 1,"Define and identify different life skills required in personal and professional life","What are the essential life skills required by a professional?"

S1,Life Skills,Module 2,"Develop awareness of self and apply techniques to cope with emotions and stress","Identify an effective means to deal with workplace stress."
S1,Life Skills,Module 2,"Develop awareness of self and apply techniques to cope with emotions and stress","How can a student apply journaling to stress management?"
S1,Life Skills,Module 2,"Develop awareness of self and apply techniques to cope with emotions and stress","What is the PATH method? Describe a situation where this method can be used effectively."

S1,Life Skills,Module 3,"Explain the mechanics of effective communication and demonstrate through presentations","Identify the communication network structure in the following situations: (a) group discussion on development (b) principal addressing punctuality (c) reporter interviewing a movie star (d) discussing test answers with friends."
S1,Life Skills,Module 3,"Explain the mechanics of effective communication and demonstrate through presentations","Elucidate the importance of non-verbal communication in making a presentation."
S1,Life Skills,Module 3,"Explain the mechanics of effective communication and demonstrate through presentations","Differentiate between kinesics, proxemics, and chronemics with examples."

S1,Life Skills,Module 4,"Take part in group discussions","How can a participant conclude a group discussion effectively?"
S1,Life Skills,Module 4,"Take part in group discussions","Listening skills are essential for effectively participating in a group discussion. Do you agree? Substantiate your answer."

S1,Life Skills,Module 5,"Use appropriate thinking and problem solving techniques to solve new problems","Illustrate the creative thinking process with a suitable example."
S1,Life Skills,Module 5,"Use appropriate thinking and problem solving techniques to solve new problems","Translate the following problem into graphical form and solve it: Ananth has 50 points more than Bimal, Chinmay has 60 points less than Ananth, and Dharini is 20 points ahead of Chinmay. Find the difference between Bimal and Dharini."
S1,Life Skills,Module 5,"Use appropriate thinking and problem solving techniques to solve new problems","List at least five ways in which the problem 'How to increase profit?' can be redefined."



S1,Engineering Mechanics,Module 1,"Recall principles and theorems related to rigid body mechanics","Explain D’Alembert’s principle."
S1,Engineering Mechanics,Module 1,"Recall principles and theorems related to rigid body mechanics","Distinguish between static and dynamic friction."
S1,Engineering Mechanics,Module 1,"Recall principles and theorems related to rigid body mechanics","State and explain the perpendicular axis theorem."

S1,Engineering Mechanics,Module 2,"Identify and describe the components of system of forces acting on a rigid body","A simply supported beam AB of span 5 m carries point loads 5 kN, 3 kN and 2 kN at 1 m, 3 m and 4 m from support A. Calculate the support reaction at B."
S1,Engineering Mechanics,Module 2,"Identify and describe the components of system of forces acting on a rigid body","A gymnast holding onto a bar is suspended motionless in mid-air. The bar is supported by two ropes attached to the ceiling. Diagram the forces acting on the system."
S1,Engineering Mechanics,Module 2,"Identify and describe the components of system of forces acting on a rigid body","While riding a bike around a circular path, illustrate the forces acting on the bike to keep it moving along the circular arc."

S1,Engineering Mechanics,Module 3,"Apply the conditions of equilibrium to various practical problems involving different force systems","Explain the conditions of equilibrium for a rigid body."
S1,Engineering Mechanics,Module 3,"Apply the conditions of equilibrium to various practical problems involving different force systems","Apply equilibrium conditions to solve problems involving coplanar force systems."

S1,Engineering Mechanics,Module 4,"Choose appropriate theorems, principles or formulae to solve problems of mechanics","Select suitable theorems and principles to solve mechanics problems."
S1,Engineering Mechanics,Module 4,"Choose appropriate theorems, principles or formulae to solve problems of mechanics","Apply appropriate formulae to solve problems in rigid body mechanics."

S1,Engineering Mechanics,Module 5,"Solve problems involving rigid bodies using properties of distributed areas and masses","Explain the concept of centroid of an area."
S1,Engineering Mechanics,Module 5,"Solve problems involving rigid bodies using properties of distributed areas and masses","Solve problems involving centre of gravity and moment of inertia."


S1,Basic Civil & Mechanical Engineering,Module 1,"Recall the role of civil engineer in society and relate various disciplines of civil engineering","Explain the relevance of civil engineering in the overall infrastructural development of the country."

S1,Basic Civil & Mechanical Engineering,Module 2,"Explain different types of buildings, components, materials and construction","Discuss the difference between plinth area and carpet area."

S1,Basic Civil & Mechanical Engineering,Module 3,"Describe the importance, objectives and principles of surveying","Explain the importance of surveying in civil engineering."

S1,Basic Civil & Mechanical Engineering,Module 4,"Summarise basic infrastructure services like MEP, HVAC, elevators, escalators and ramps","Explain the civil engineering aspects of elevators, escalators and ramps in buildings."

S1,Basic Civil & Mechanical Engineering,Module 5,"Discuss materials, energy systems, water management and environment for green buildings","Discuss the relevance of green buildings in society."

S1,Basic Civil & Mechanical Engineering,Module 6,"Analyse thermodynamic cycles and calculate efficiency","In an air standard Otto cycle with compression ratio 7, initial condition 35°C and 0.1 MPa, and maximum temperature 1100°C, find heat supplied, work done and efficiency. (Cp = 1.005 kJ/kgK, Cv = 0.718 kJ/kgK)"
S1,Basic Civil & Mechanical Engineering,Module 6,"Analyse thermodynamic cycles and calculate efficiency","A Carnot cycle has adiabatic compression ratio 5 and isothermal expansion ratio 2. Given maximum temperature 550 K and pressure 21 bar, find minimum temperature and efficiency."
S1,Basic Civil & Mechanical Engineering,Module 6,"Analyse thermodynamic cycles and calculate efficiency","In an ideal diesel cycle, given temperatures at compression and expansion stages, determine the efficiency of the cycle."
S1,Basic Civil & Mechanical Engineering,Module 6,"Analyse thermodynamic cycles and calculate efficiency","Explain the concepts of CRDI and MPFI in IC engines."

S1,Basic Civil & Mechanical Engineering,Module 7,"Illustrate the working and features of IC engines","Explain the working of a 4-stroke SI engine with a neat sketch."
S1,Basic Civil & Mechanical Engineering,Module 7,"Illustrate the working and features of IC engines","Compare the working of 2-stroke and 4-stroke IC engines."
S1,Basic Civil & Mechanical Engineering,Module 7,"Illustrate the working and features of IC engines","Explain the classification of IC engines."

S1,Basic Civil & Mechanical Engineering,Module 8,"Explain principles of refrigeration and air conditioning","Explain the working of a vapour compression refrigeration system."
S1,Basic Civil & Mechanical Engineering,Module 8,"Explain principles of refrigeration and air conditioning","Explain the working of a split air conditioner with a sketch."
S1,Basic Civil & Mechanical Engineering,Module 8,"Explain principles of refrigeration and air conditioning","Define COP, specific humidity, relative humidity and dew point temperature."

S1,Basic Civil & Mechanical Engineering,Module 9,"Describe the working of hydraulic machines","Explain the working of a single stage centrifugal pump with sketches."
S1,Basic Civil & Mechanical Engineering,Module 9,"Describe the working of hydraulic machines","Explain the working of a reciprocating pump with a neat sketch."
S1,Basic Civil & Mechanical Engineering,Module 9,"Describe the working of hydraulic machines","A turbine operates under a head of 25 m at 200 rpm with discharge 9 m³/s and efficiency 90%. Determine the power developed."

S1,Basic Civil & Mechanical Engineering,Module 10,"Explain the working of power transmission elements","Explain the working of belt drive and gear drive with neat sketches."
S1,Basic Civil & Mechanical Engineering,Module 10,"Explain the working of power transmission elements","Explain a single plate clutch."
S1,Basic Civil & Mechanical Engineering,Module 10,"Explain the working of power transmission elements","Sketch different types of gear trains and explain."

S1,Basic Civil & Mechanical Engineering,Module 11,"Describe manufacturing, metal joining and machining processes","Describe operations performed using a drilling machine."
S1,Basic Civil & Mechanical Engineering,Module 11,"Describe manufacturing, metal joining and machining processes","Explain the functions of runners and risers in casting."
S1,Basic Civil & Mechanical Engineering,Module 11,"Describe manufacturing, metal joining and machining processes","Explain the working and parts of a lathe with a neat sketch."


S1,Basic Electrical & Electronics Engineering,Module 1,"Apply fundamental concepts and circuit laws to solve simple DC electric circuits","Solve problems based on current division rule."
S1,Basic Electrical & Electronics Engineering,Module 1,"Apply fundamental concepts and circuit laws to solve simple DC electric circuits","Solve problems using mesh and nodal analysis."
S1,Basic Electrical & Electronics Engineering,Module 1,"Apply fundamental concepts and circuit laws to solve simple DC electric circuits","Solve problems on Wye-Delta transformation."

S1,Basic Electrical & Electronics Engineering,Module 2,"Develop and solve models of magnetic circuits","Solve problems on series magnetic circuits."
S1,Basic Electrical & Electronics Engineering,Module 2,"Develop and solve models of magnetic circuits","Solve problems on parallel magnetic circuits."
S1,Basic Electrical & Electronics Engineering,Module 2,"Develop and solve models of magnetic circuits","Solve problems on composite magnetic circuits."

S1,Basic Electrical & Electronics Engineering,Module 3,"Apply fundamental laws to solve AC circuits in steady state","Solve problems on self inductance, mutual inductance and coefficient of coupling."
S1,Basic Electrical & Electronics Engineering,Module 3,"Apply fundamental laws to solve AC circuits in steady state","Solve problems on RMS and average values of periodic waveforms."
S1,Basic Electrical & Electronics Engineering,Module 3,"Apply fundamental laws to solve AC circuits in steady state","Solve problems on series AC circuits."
S1,Basic Electrical & Electronics Engineering,Module 3,"Apply fundamental laws to solve AC circuits in steady state","Compare star and delta connected three phase AC systems."

S1,Basic Electrical & Electronics Engineering,Module 4,"Describe the working of a voltage amplifier","Explain the need for voltage divider biasing in an RC coupled amplifier."
S1,Basic Electrical & Electronics Engineering,Module 4,"Describe the working of a voltage amplifier","Define operating point in the context of a BJT amplifier."
S1,Basic Electrical & Electronics Engineering,Module 4,"Describe the working of a voltage amplifier","Explain the need for a voltage amplifier in a public address system."

S1,Basic Electrical & Electronics Engineering,Module 5,"Outline the principle of an electronic instrumentation system","Draw the block diagram of an electronic instrumentation system."
S1,Basic Electrical & Electronics Engineering,Module 5,"Outline the principle of an electronic instrumentation system","What is a transducer?"
S1,Basic Electrical & Electronics Engineering,Module 5,"Outline the principle of an electronic instrumentation system","Explain the working principle of a digital multimeter."

S1,Basic Electrical & Electronics Engineering,Module 6,"Explain the principle of radio and cellular communication","Explain the working principle of an antenna used in a radio transmitter."
S1,Basic Electrical & Electronics Engineering,Module 6,"Explain the principle of radio and cellular communication","Explain the need for RF and IF sections in a superheterodyne receiver."
S1,Basic Electrical & Electronics Engineering,Module 6,"Explain the principle of radio and cellular communication","What is meant by a cell in cellular communication?"


S2,Vector Calculus & Differential Equations,Module 1,"Compute derivatives and line integrals of vector functions and their applications","How do you calculate speed, velocity and acceleration of a particle whose position vector is r(t)?"
S2,Vector Calculus & Differential Equations,Module 1,"Compute derivatives and line integrals of vector functions and their applications","Find the work done by the force field F = (e^x − y^3)i + (cos y + x^3)j around the unit circle."
S2,Vector Calculus & Differential Equations,Module 1,"Compute derivatives and line integrals of vector functions and their applications","When is a vector field conservative? What are its implications?"

S2,Vector Calculus & Differential Equations,Module 2,"Evaluate surface and volume integrals and their applications","Write one application each of line integral, double integral and surface integral."
S2,Vector Calculus & Differential Equations,Module 2,"Evaluate surface and volume integrals and their applications","Use divergence theorem to find outward flux of F(x,y,z) = zk across the sphere x^2 + y^2 + z^2 = a^2."
S2,Vector Calculus & Differential Equations,Module 2,"Evaluate surface and volume integrals and their applications","State Green’s theorem and use it to express area as a line integral."

S2,Vector Calculus & Differential Equations,Module 3,"Solve homogeneous and non-homogeneous linear differential equations with constant coefficients","If y1(x) and y2(x) are solutions of y'' + py' + qy = 0, show that y1 + y2 is also a solution."
S2,Vector Calculus & Differential Equations,Module 3,"Solve homogeneous and non-homogeneous linear differential equations with constant coefficients","Solve the differential equation y'' + y = 0.001x^2 using method of undetermined coefficients."
S2,Vector Calculus & Differential Equations,Module 3,"Solve homogeneous and non-homogeneous linear differential equations with constant coefficients","Solve the differential equation y''' − 3y'' + 3y' − y = e^x − x − 1."

S2,Vector Calculus & Differential Equations,Module 4,"Compute Laplace transforms and apply them to solve ODEs","Find the inverse Laplace transform of (3s − 13)/(s^2 + 2s + 4)."
S2,Vector Calculus & Differential Equations,Module 4,"Compute Laplace transforms and apply them to solve ODEs","Find the Laplace transform of unit step function."
S2,Vector Calculus & Differential Equations,Module 4,"Compute Laplace transforms and apply them to solve ODEs","Solve y'' + 9y = δ(t − π/2), given y(0)=2 and y'(0)=0."

S2,Vector Calculus & Differential Equations,Module 5,"Determine Fourier transforms and apply them in engineering","Find Fourier integral representation of f(x) = e^{-x} for x > 0 and 0 for x < 0."
S2,Vector Calculus & Differential Equations,Module 5,"Determine Fourier transforms and apply them in engineering","State conditions for existence of Fourier transform."
S2,Vector Calculus & Differential Equations,Module 5,"Determine Fourier transforms and apply them in engineering","Find Fourier transform of f(x) = 1 for |x| < 1 and 0 otherwise."


S2,Professional Communication,Module 1,"Develop vocabulary and language skills relevant to engineering profession","Explain the importance of vocabulary in engineering communication."
S2,Professional Communication,Module 1,"Develop vocabulary and language skills relevant to engineering profession","List techniques to improve technical vocabulary."
S2,Professional Communication,Module 1,"Develop vocabulary and language skills relevant to engineering profession","How can language skills enhance professional communication?"

S2,Professional Communication,Module 2,"Analyze, interpret and summarize textual content","Explain methods to analyze and interpret technical texts."
S2,Professional Communication,Module 2,"Analyze, interpret and summarize textual content","What are the key steps in summarizing a passage?"
S2,Professional Communication,Module 2,"Analyze, interpret and summarize textual content","Summarize a given technical paragraph effectively."

S2,Professional Communication,Module 3,"Create effective technical presentations","What are the essential elements of a good technical presentation?"
S2,Professional Communication,Module 3,"Create effective technical presentations","Explain the role of visual aids in presentations."
S2,Professional Communication,Module 3,"Create effective technical presentations","How do you structure a technical presentation?"

S2,Professional Communication,Module 4,"Discuss topics in group and arrive at consensus","Explain the rules of effective group discussion."
S2,Professional Communication,Module 4,"Discuss topics in group and arrive at consensus","How can a participant contribute effectively in a group discussion?"
S2,Professional Communication,Module 4,"Discuss topics in group and arrive at consensus","What strategies help in reaching consensus in group discussions?"

S2,Professional Communication,Module 5,"Identify drawbacks in listening and apply techniques","What are common barriers to effective listening?"
S2,Professional Communication,Module 5,"Identify drawbacks in listening and apply techniques","Explain techniques to improve listening skills."
S2,Professional Communication,Module 5,"Identify drawbacks in listening and apply techniques","How can active listening improve communication?"



S3,Discrete Mathematical Structures,Module 1,"Apply logic and proof techniques in discrete mathematics","Define propositions and logical connectives with examples."
S3,Discrete Mathematical Structures,Module 1,"Apply logic and proof techniques in discrete mathematics","Explain tautology, contradiction and contingency."
S3,Discrete Mathematical Structures,Module 1,"Apply logic and proof techniques in discrete mathematics","Prove a statement using mathematical induction."

S3,Discrete Mathematical Structures,Module 2,"Understand sets, relations and functions","Define set operations with examples."
S3,Discrete Mathematical Structures,Module 2,"Understand sets, relations and functions","Explain types of relations with examples."
S3,Discrete Mathematical Structures,Module 2,"Understand sets, relations and functions","Define function and explain types of functions."

S3,Discrete Mathematical Structures,Module 3,"Analyze algebraic structures","Define group and give examples."
S3,Discrete Mathematical Structures,Module 3,"Analyze algebraic structures","Explain properties of a group."
S3,Discrete Mathematical Structures,Module 3,"Analyze algebraic structures","Define ring and field with examples."

S3,Discrete Mathematical Structures,Module 4,"Apply graph theory concepts","Define graph and its types."
S3,Discrete Mathematical Structures,Module 4,"Apply graph theory concepts","Explain Euler and Hamiltonian graphs."
S3,Discrete Mathematical Structures,Module 4,"Apply graph theory concepts","Define tree and its properties."

S3,Discrete Mathematical Structures,Module 5,"Solve recurrence relations and counting problems","Define recurrence relation with examples."
S3,Discrete Mathematical Structures,Module 5,"Solve recurrence relations and counting problems","Solve recurrence relation using substitution method."
S3,Discrete Mathematical Structures,Module 5,"Solve recurrence relations and counting problems","Explain pigeonhole principle with example."


S3,Data Structures,Module 1,"Analyze algorithm complexity and basic data structures","Define time and space complexity."
S3,Data Structures,Module 1,"Analyze algorithm complexity and basic data structures","Explain Big-O notation with examples."
S3,Data Structures,Module 1,"Analyze algorithm complexity and basic data structures","Compare linear search and binary search."

S3,Data Structures,Module 2,"Implement linear data structures like stacks and queues","Define stack and its operations."
S3,Data Structures,Module 2,"Implement linear data structures like stacks and queues","Explain applications of stack."
S3,Data Structures,Module 2,"Implement linear data structures like stacks and queues","Define queue and its types."

S3,Data Structures,Module 3,"Implement linked lists and their applications","Define linked list and its types."
S3,Data Structures,Module 3,"Implement linked lists and their applications","Explain insertion and deletion in linked list."
S3,Data Structures,Module 3,"Implement linked lists and their applications","Differentiate between singly and doubly linked list."

S3,Data Structures,Module 4,"Apply tree data structures","Define binary tree and its properties."
S3,Data Structures,Module 4,"Apply tree data structures","Explain tree traversal techniques."
S3,Data Structures,Module 4,"Apply tree data structures","Define binary search tree and its operations."

S3,Data Structures,Module 5,"Analyze graph and hashing techniques","Define graph and its representation."
S3,Data Structures,Module 5,"Analyze graph and hashing techniques","Explain BFS and DFS traversal."
S3,Data Structures,Module 5,"Analyze graph and hashing techniques","Define hashing and collision resolution techniques."



S3,Logic System Design,Module 1,"Apply Boolean algebra and logic simplification techniques","Define Boolean algebra and its basic laws."
S3,Logic System Design,Module 1,"Apply Boolean algebra and logic simplification techniques","Simplify Boolean expressions using laws and theorems."
S3,Logic System Design,Module 1,"Apply Boolean algebra and logic simplification techniques","Explain De Morgan’s theorems with examples."

S3,Logic System Design,Module 2,"Design combinational logic circuits","Explain logic gates and their functions."
S3,Logic System Design,Module 2,"Design combinational logic circuits","Design a half adder and full adder."
S3,Logic System Design,Module 2,"Design combinational logic circuits","Explain multiplexer and demultiplexer."

S3,Logic System Design,Module 3,"Apply minimization techniques for logic circuits","Explain Karnaugh map and its use."
S3,Logic System Design,Module 3,"Apply minimization techniques for logic circuits","Simplify Boolean expressions using K-map."
S3,Logic System Design,Module 3,"Apply minimization techniques for logic circuits","Explain Quine-McCluskey method."

S3,Logic System Design,Module 4,"Design sequential circuits","Define flip-flops and types."
S3,Logic System Design,Module 4,"Design sequential circuits","Explain JK and D flip-flops."
S3,Logic System Design,Module 4,"Design sequential circuits","Explain counters and registers."

S3,Logic System Design,Module 5,"Analyze synchronous and asynchronous circuits","Explain synchronous and asynchronous sequential circuits."
S3,Logic System Design,Module 5,"Analyze synchronous and asynchronous circuits","Define state diagram and state table."
S3,Logic System Design,Module 5,"Analyze synchronous and asynchronous circuits","Explain race conditions and hazards."


S3,Object Oriented Programming (Java),Module 1,"Understand basics of Java and OOP concepts","Define object oriented programming and its features."
S3,Object Oriented Programming (Java),Module 1,"Understand basics of Java and OOP concepts","Explain structure of a Java program."
S3,Object Oriented Programming (Java),Module 1,"Understand basics of Java and OOP concepts","What is JVM? Explain its role."

S3,Object Oriented Programming (Java),Module 2,"Apply classes and objects in Java","Define class and object with example."
S3,Object Oriented Programming (Java),Module 2,"Apply classes and objects in Java","Explain constructors in Java."
S3,Object Oriented Programming (Java),Module 2,"Apply classes and objects in Java","Explain method overloading."

S3,Object Oriented Programming (Java),Module 3,"Implement inheritance and polymorphism","Explain inheritance and its types."
S3,Object Oriented Programming (Java),Module 3,"Implement inheritance and polymorphism","Differentiate method overloading and overriding."
S3,Object Oriented Programming (Java),Module 3,"Implement inheritance and polymorphism","Explain polymorphism with example."

S3,Object Oriented Programming (Java),Module 4,"Apply exception handling and packages","What is exception handling in Java?"
S3,Object Oriented Programming (Java),Module 4,"Apply exception handling and packages","Explain try-catch block with example."
S3,Object Oriented Programming (Java),Module 4,"Apply exception handling and packages","Explain packages in Java."

S3,Object Oriented Programming (Java),Module 5,"Apply file handling and advanced Java concepts","Explain file handling in Java."
S3,Object Oriented Programming (Java),Module 5,"Apply file handling and advanced Java concepts","Explain multithreading in Java."
S3,Object Oriented Programming (Java),Module 5,"Apply file handling and advanced Java concepts","Explain Java I/O streams."

S3,Sustainable Engineering,Module 1,"Understand principles of sustainability","Define sustainable development."
S3,Sustainable Engineering,Module 1,"Understand principles of sustainability","Explain the need for sustainable engineering."
S3,Sustainable Engineering,Module 1,"Understand principles of sustainability","What are the pillars of sustainability?"

S3,Sustainable Engineering,Module 2,"Analyze environmental impacts and resources","Explain environmental impact assessment."
S3,Sustainable Engineering,Module 2,"Analyze environmental impacts and resources","Discuss renewable and non-renewable resources."
S3,Sustainable Engineering,Module 2,"Analyze environmental impacts and resources","Explain carbon footprint and its reduction."

S3,Sustainable Engineering,Module 3,"Apply sustainable practices in engineering","Explain waste management techniques."
S3,Sustainable Engineering,Module 3,"Apply sustainable practices in engineering","Discuss water conservation methods."
S3,Sustainable Engineering,Module 3,"Apply sustainable practices in engineering","Explain energy efficient technologies."

S3,Sustainable Engineering,Module 4,"Understand green building and sustainable design","What is a green building?"
S3,Sustainable Engineering,Module 4,"Understand green building and sustainable design","Explain features of sustainable buildings."
S3,Sustainable Engineering,Module 4,"Understand green building and sustainable design","Discuss benefits of green buildings."

S3,Sustainable Engineering,Module 5,"Evaluate sustainability in real-world applications","Explain life cycle assessment."
S3,Sustainable Engineering,Module 5,"Evaluate sustainability in real-world applications","Discuss sustainable transportation."
